Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.8246296296296296
Logistic Regression,0.6883116883116883,0.5681818181818182,0.46296296296296297,0.5102040816326531,0.8200000000000001
Random Forest,0.7207792207792207,0.6170212765957447,0.5370370370370371,0.5742574257425742,0.8116666666666665
SVM,0.7207792207792207,0.6486486486486487,0.4444444444444444,0.5274725274725275,0.7790740740740741
Decision Tree,0.7662337662337663,0.65,0.7222222222222222,0.6842105263157895,0.7761111111111111
